"";"category";"ID";"Description";"setSize";"enrichmentScore";"NES";"pvalue";"p.adjust";"qvalue";"rank";"leading_edge";"core_enrichment";"gene.descriptions"
"GO:0016624";"MF";"GO:0016624";"oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor";2;-0,724056603773585;-1,20274395650597;0,222648752399232;0,798797848782031;0,765913518373599;237;"tags=100%, list=28%, signal=72%";"CLM75_RS17520";"3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) subunit alpha"
"GO:0004386";"MF";"GO:0004386";"helicase activity";2;-0,719339622641509;-1,19490849099128;0,224568138195777;0,798797848782031;0,765913518373599;241;"tags=100%, list=28%, signal=72%";"CLM75_RS20635";"exodeoxyribonuclease V subunit alpha"
"GO:0019808";"MF";"GO:0019808";"polyamine binding";3;-0,610566455763999;-1,17001281381515;0,28735632183908;0,905729838582801;0,868443409584343;156;"tags=100%, list=18%, signal=82%";"CLM75_RS09090/CLM75_RS12820";"polyamine ABC transporter substrate-binding protein/polyamine ABC transporter substrate-binding protein"
"GO:0051287";"MF";"GO:0051287";"NAD binding";6;0,441943127962085;1,14833395165406;0,301310043668122;0,905729838582801;0,868443409584343;477;"tags=100%, list=56%, signal=44%";"CLM75_RS22230/CLM75_RS05035/CLM75_RS04695/CLM75_RS04910/CLM75_RS13400/CLM75_RS14125";"type I glyceraldehyde-3-phosphate dehydrogenase/nucleotide sugar dehydrogenase/2-hydroxyacid dehydrogenase/D-glycerate dehydrogenase/tartrate dehydrogenase/alkyl hydroperoxide reductase subunit F"
"GO:0004450";"MF";"GO:0004450";"isocitrate dehydrogenase (NADP+) activity";2;-0,679245283018868;-1,12830703411635;0,326295585412668;0,905729838582801;0,868443409584343;275;"tags=100%, list=32%, signal=68%";"CLM75_RS16665";"NADP-dependent isocitrate dehydrogenase"
"GO:0015562";"MF";"GO:0015562";"efflux transmembrane transporter activity";4;-0,514301029131131;-1,12822017615203;0,327868852459016;0,905729838582801;0,868443409584343;255;"tags=75%, list=30%, signal=53%";"CLM75_RS12080/CLM75_RS06835/CLM75_RS12860";"RND transporter/multidrug efflux RND transporter permease subunit/peptidase"
"GO:0004324";"MF";"GO:0004324";"ferredoxin-NADP+ reductase activity";2;0,659625144523991;1,12663382591613;0,33402489626556;0,905729838582801;0,868443409584343;29;"tags=50%, list=3%, signal=48%";"CLM75_RS05975";"ferredoxin--NADP reductase"
"GO:0008168";"MF";"GO:0008168";"methyltransferase activity";2;0,652122641509434;1,11381961811127;0,352697095435685;0,905729838582801;0,868443409584343;297;"tags=100%, list=35%, signal=65%";"CLM75_RS18895/CLM75_RS01940";"bifunctional tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD/FAD-dependent 5-carboxymethylaminomethyl-2-thiouridine(34) oxidoreductase MnmC/ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE"
"GO:0008854";"MF";"GO:0008854";"exodeoxyribonuclease V activity";3;-0,580873671782763;-1,1131132946753;0,346743295019157;0,905729838582801;0,868443409584343;359;"tags=100%, list=42%, signal=58%";"CLM75_RS20645/CLM75_RS20635";"exodeoxyribonuclease V subunit gamma/exodeoxyribonuclease V subunit alpha"
"GO:0003824";"MF";"GO:0003824";"catalytic activity";40;-0,233867507375036;-1,11195434275095;0,334389857369255;0,905729838582801;0,868443409584343;21;"tags=28%, list=2%, signal=28%";"CLM75_RS16560/CLM75_RS08020/CLM75_RS08015/CLM75_RS25510/CLM75_RS19715/CLM75_RS18295/CLM75_RS15545/CLM75_RS17745/CLM75_RS01350/CLM75_RS11010/CLM75_RS11015";"CoA transferase/bifunctional prephenate dehydrogenase/3-phosphoshikimate 1-carboxyvinyltransferase/histidinol-phosphate transaminase/aspartate aminotransferase family protein/threonine-phosphate decarboxylase/O-succinylhomoserine sulfhydrylase/carboxynorspermidine decarboxylase/non-ribosomal peptide synthetase/formate dehydrogenase accessory sulfurtransferase FdhD/non-ribosomal peptide synthetase/non-ribosomal peptide synthetase"
"GO:0016705";"MF";"GO:0016705";"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen";6;0,423273767076314;1,09982395205372;0,331877729257642;0,905729838582801;0,868443409584343;173;"tags=50%, list=20%, signal=40%";"CLM75_RS17880/CLM75_RS26815/CLM75_RS26805";"LLM class flavin-dependent oxidoreductase/2-octaprenyl-6-methoxyphenyl hydroxylase/2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase"
"GO:0016772";"MF";"GO:0016772";"transferase activity, transferring phosphorus-containing groups";5;0,443786982248521;1,08800496458486;0,336864406779661;0,905729838582801;0,868443409584343;475;"tags=100%, list=56%, signal=44%";"CLM75_RS19490/CLM75_RS22210/CLM75_RS22170/CLM75_RS21830/CLM75_RS18230";"PAS domain-containing sensor histidine kinase/two-component sensor histidine kinase/sensor histidine kinase/two-component sensor histidine kinase/two-component sensor histidine kinase"
"GO:0050660";"MF";"GO:0050660";"flavin adenine dinucleotide binding";12;0,313070221466999;1,08500195623774;0,365296803652968;0,905729838582801;0,868443409584343;232;"tags=50%, list=27%, signal=37%";"CLM75_RS03970/CLM75_RS27605/CLM75_RS26815/CLM75_RS26805/CLM75_RS22470/CLM75_RS24405";"glycine oxidase ThiO/HlyC/CorC family transporter/2-octaprenyl-6-methoxyphenyl hydroxylase/2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase/transporter/HlyC/CorC family transporter"
"GO:0008855";"MF";"GO:0008855";"exodeoxyribonuclease VII activity";2;0,633254716981132;1,0815933723793;0,398340248962656;0,905729838582801;0,868443409584343;313;"tags=100%, list=37%, signal=63%";"CLM75_RS24690/CLM75_RS22615";"exodeoxyribonuclease 7 small subunit/exodeoxyribonuclease VII large subunit"
"GO:0016831";"MF";"GO:0016831";"carboxy-lyase activity";2;-0,641509433962264;-1,06562330999878;0,395393474088292;0,905729838582801;0,868443409584343;307;"tags=100%, list=36%, signal=64%";"CLM75_RS15545";"carboxynorspermidine decarboxylase"
"GO:0070006";"MF";"GO:0070006";"metalloaminopeptidase activity";2;0,609751468738273;1,04145003535049;0,446058091286307;0,905729838582801;0,868443409584343;63;"tags=50%, list=7%, signal=46%";"CLM75_RS26820";"Xaa-Pro aminopeptidase"
"GO:0004497";"MF";"GO:0004497";"monooxygenase activity";3;0,506764421195952;1,03399795620441;0,439834024896266;0,905729838582801;0,868443409584343;23;"tags=33%, list=3%, signal=33%";"CLM75_RS17880";"LLM class flavin-dependent oxidoreductase"
"GO:0016620";"MF";"GO:0016620";"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor";3;0,498303763392429;1,01673489962214;0,462655601659751;0,905729838582801;0,868443409584343;19;"tags=33%, list=2%, signal=33%";"CLM75_RS22230";"type I glyceraldehyde-3-phosphate dehydrogenase"
"GO:0015035";"MF";"GO:0015035";"protein disulfide oxidoreductase activity";2;0,590801886792453;1,00908431948237;0,487551867219917;0,905729838582801;0,868443409584343;349;"tags=100%, list=41%, signal=59%";"CLM75_RS23085/CLM75_RS24775";"disulfide bond formation protein B/thioredoxin"
"GO:0005247";"MF";"GO:0005247";"voltage-gated chloride channel activity";2;-0,599056603773585;-0,995104120366505;0,506717850287908;0,905729838582801;0,868443409584343;343;"tags=100%, list=40%, signal=60%";"CLM75_RS16395";"voltage-gated chloride channel protein"
"GO:0016407";"MF";"GO:0016407";"acetyltransferase activity";6;0,382701421800948;0,99440178655298;0,449781659388646;0,905729838582801;0,868443409584343;527;"tags=100%, list=62%, signal=38%";"CLM75_RS02945/CLM75_RS02940/CLM75_RS26735/CLM75_RS24260/CLM75_RS14845/CLM75_RS14045";"N-acetyltransferase/N-acetyltransferase/amino-acid N-acetyltransferase/N-acetyltransferase/GNAT family N-acetyltransferase/GNAT family N-acetyltransferase"
"GO:0016787";"MF";"GO:0016787";"hydrolase activity";7;0,359430604982206;0,990610614950602;0,480088495575221;0,905729838582801;0,868443409584343;547;"tags=100%, list=64%, signal=36%";"CLM75_RS05075/CLM75_RS07990/CLM75_RS18725/CLM75_RS25375/CLM75_RS11770/CLM75_RS20640/CLM75_RS11685";"carboxylesterase/TRZ/ATZ family hydrolase/DNA/RNA non-specific endonuclease/diadenosine tetraphosphatase/Cof-type HAD-IIB family hydrolase/exodeoxyribonuclease V subunit beta/serine/threonine protein phosphatase"
"GO:0005507";"MF";"GO:0005507";"copper ion binding";3;0,483912415745245;0,987370912270582;0,50207468879668;0,905729838582801;0,868443409584343;10;"tags=33%, list=1%, signal=33%";"CLM75_RS02765";"azurin"
"GO:0051539";"MF";"GO:0051539";"4 iron, 4 sulfur cluster binding";5;-0,415384615384615;-0,986824253402872;0,488679245283019;0,905729838582801;0,868443409584343;500;"tags=100%, list=59%, signal=41%";"CLM75_RS05810/CLM75_RS21895/CLM75_RS15085/CLM75_RS16755";"endonuclease III/L-serine ammonia-lyase/bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase/NADH-quinone oxidoreductase subunit NuoI"
"GO:0016616";"MF";"GO:0016616";"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor";4;0,447990543735225;0,985027649796778;0,45916114790287;0,905729838582801;0,868443409584343;471;"tags=100%, list=55%, signal=45%";"CLM75_RS05035/CLM75_RS04695/CLM75_RS04910/CLM75_RS13400";"nucleotide sugar dehydrogenase/2-hydroxyacid dehydrogenase/D-glycerate dehydrogenase/tartrate dehydrogenase"
"GO:0003860";"MF";"GO:0003860";"3-hydroxyisobutyryl-CoA hydrolase activity";2;0,568209063000422;0,970495979243407;0,531120331950207;0,905729838582801;0,868443409584343;47;"tags=50%, list=6%, signal=47%";"CLM75_RS07115";"enoyl-CoA hydratase/isomerase family protein"
"GO:0004061";"MF";"GO:0004061";"arylformamidase activity";2;-0,58372641509434;-0,96963885744374;0,533589251439539;0,905729838582801;0,868443409584343;356;"tags=100%, list=42%, signal=58%";"CLM75_RS13690";"cyclase family protein"
"GO:0003676";"MF";"GO:0003676";"nucleic acid binding";5;-0,40645479386251;-0,965609783414828;0,50188679245283;0,905729838582801;0,868443409584343;241;"tags=60%, list=28%, signal=43%";"CLM75_RS12880/CLM75_RS16655/CLM75_RS12875";"ATP-dependent DNA helicase/cold shock domain protein CspD/nuclease"
"GO:0003678";"MF";"GO:0003678";"DNA helicase activity";2;-0,580188679245283;-0,963762258307717;0,547024952015355;0,905729838582801;0,868443409584343;359;"tags=100%, list=42%, signal=58%";"CLM75_RS12880";"ATP-dependent DNA helicase"
"GO:0030246";"MF";"GO:0030246";"carbohydrate binding";2;0,563679245283019;0,962759091242657;0,537344398340249;0,905729838582801;0,868443409584343;372;"tags=100%, list=44%, signal=56%";"CLM75_RS06020/CLM75_RS01860";"glucan biosynthesis protein D/glucan biosynthesis protein G"
"GO:0016491";"MF";"GO:0016491";"oxidoreductase activity";24;-0,236020595202173;-0,959226172555644;0,508503401360544;0,905729838582801;0,868443409584343;200;"tags=38%, list=24%, signal=30%";"CLM75_RS08860/CLM75_RS06055/CLM75_RS16745/CLM75_RS18855/CLM75_RS08875/CLM75_RS23090/CLM75_RS12810/CLM75_RS00290/CLM75_RS10340";"succinate dehydrogenase iron-sulfur subunit/gamma-aminobutyraldehyde dehydrogenase/NADH-quinone oxidoreductase subunit NuoG/DsbA family protein/dihydrolipoyl dehydrogenase/NO-inducible flavohemoprotein/FAD-dependent oxidoreductase/cytochrome c oxidase subunit II/(2Fe-2S)-binding protein"
"GO:0016747";"MF";"GO:0016747";"transferase activity, transferring acyl groups other than amino-acyl groups";3;-0,491538202714058;-0,941922030314436;0,544061302681992;0,905729838582801;0,868443409584343;48;"tags=67%, list=6%, signal=63%";"CLM75_RS13100/CLM75_RS09615";"beta-ketoacyl-[acyl-carrier-protein] synthase II/acetyltransferase"
"GO:0003924";"MF";"GO:0003924";"GTPase activity";3;-0,490196826754824;-0,939351586023512;0,544061302681992;0,905729838582801;0,868443409584343;202;"tags=67%, list=24%, signal=51%";"CLM75_RS03880/CLM75_RS20570";"sulfate adenylyltransferase subunit CysN/hypothetical protein"
"GO:0010181";"MF";"GO:0010181";"FMN binding";5;0,372781065088757;0,913924170251284;0,538135593220339;0,905729838582801;0,868443409584343;535;"tags=100%, list=63%, signal=37%";"CLM75_RS03570/CLM75_RS19925/CLM75_RS06610/CLM75_RS13775/CLM75_RS13275";"flavin reductase/FMN-dependent NADH-azoreductase/pyridoxamine 5'-phosphate oxidase/alkene reductase/bifunctional salicylyl-CoA 5-hydroxylase/oxidoreductase"
"GO:0016987";"MF";"GO:0016987";"sigma factor activity";2;0,553052627800153;0,944608923968625;0,564315352697095;0,908022130013831;0,870641333624518;24;"tags=50%, list=3%, signal=49%";"CLM75_RS22235";"sigma-70 family RNA polymerase sigma factor"
"GO:0008199";"MF";"GO:0008199";"ferric iron binding";2;0,548349056603774;0,93657526658543;0,566390041493776;0,908022130013831;0,870641333624518;385;"tags=100%, list=45%, signal=55%";"CLM75_RS27125/CLM75_RS23350";"iron donor protein CyaY/catechol 1,2-dioxygenase"
"GO:0005315";"MF";"GO:0005315";"inorganic phosphate transmembrane transporter activity";3;-0,475796930342385;-0,911757434459647;0,580459770114943;0,916038074712644;0,878327283726558;448;"tags=100%, list=53%, signal=47%";"CLM75_RS14365/CLM75_RS14360";"phosphate ABC transporter permease subunit PstC/phosphate ABC transporter permease PtsA"
"GO:0008324";"MF";"GO:0008324";"cation transmembrane transporter activity";2;-0,55188679245283;-0,916749465219536;0,604606525911708;0,916362172539791;0,87863803932945;383;"tags=100%, list=45%, signal=55%";"CLM75_RS10640";"glutathione-regulated potassium-efflux system protein KefB"
"GO:0000287";"MF";"GO:0000287";"magnesium ion binding";2;0,534793214744745;0,913422010370231;0,597510373443983;0,916362172539791;0,87863803932945;46;"tags=50%, list=5%, signal=47%";"CLM75_RS03725";"ribose-phosphate pyrophosphokinase"
"GO:0016810";"MF";"GO:0016810";"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds";3;0,440374208948829;0,898535913282182;0,607883817427386;0,916362172539791;0,87863803932945;286;"tags=67%, list=34%, signal=44%";"CLM75_RS05045/CLM75_RS07990";"polysaccharide deacetylase family protein/TRZ/ATZ family hydrolase"
"GO:0003697";"MF";"GO:0003697";"single-stranded DNA binding";2;-0,538915094339623;-0,89520193505412;0,637236084452975;0,93712540341171;0,898546504574022;394;"tags=100%, list=46%, signal=54%";"CLM75_RS10450";"hypothetical protein"
"GO:0004812";"MF";"GO:0004812";"aminoacyl-tRNA ligase activity";2;0,511792452830189;0,874136915479735;0,649377593360996;0,93712540341171;0,898546504574022;416;"tags=100%, list=49%, signal=51%";"CLM75_RS23580/CLM75_RS04290";"tRNA glutamyl-Q(34) synthetase GluQRS/tryptophan--tRNA ligase"
"GO:0008233";"MF";"GO:0008233";"peptidase activity";2;0,507075471698113;0,866080354046742;0,661825726141079;0,93712540341171;0,898546504574022;420;"tags=100%, list=49%, signal=51%";"CLM75_RS06135/CLM75_RS01850";"alpha/beta hydrolase/prolyl aminopeptidase"
