"";"category";"ID";"Description";"setSize";"enrichmentScore";"NES";"pvalue";"p.adjust";"qvalue";"rank";"leading_edge";"core_enrichment";"gene.descriptions"
"GO:0042121";"BP";"GO:0042121";"alginic acid biosynthetic process";5;0,909090909090909;2,17137871407005;7,21130708775148e-05;0,000793243779652663;0,000531359469623794;14;"tags=100%, list=13%, signal=91%";"CLM75_RS04990/CLM75_RS05000/CLM75_RS04985/CLM75_RS05035/CLM75_RS04980";"MBOAT family protein/alginate O-acetyltransferase/alginate O-acetyltransferase/nucleotide sugar dehydrogenase/alginate O-acetyltransferase AlgF"
"GO:0055085";"BP";"GO:0055085";"transmembrane transport";6;-0,673469387755102;-1,90345413542089;0,0130126957015435;0,0715698263584892;0,0479415104793708;39;"tags=100%, list=38%, signal=66%";"CLM75_RS26480/CLM75_RS03165/CLM75_RS17320/CLM75_RS16230/CLM75_RS04925";"putative 2-aminoethylphosphonate ABC transporter permease subunit/MATE family efflux transporter/MFS transporter/sugar transporter/RND transporter"
"GO:0007165";"BP";"GO:0007165";"signal transduction";10;-0,448904821278212;-1,55495489093852;0,0420809837737719;0,115722705377873;0,0775176016885271;35;"tags=80%, list=34%, signal=59%";"CLM75_RS27195/CLM75_RS22090/CLM75_RS13850/CLM75_RS10415/CLM75_RS14715/CLM75_RS04675/CLM75_RS14530/CLM75_RS08940";"methyl-accepting chemotaxis protein/methyl-accepting chemotaxis protein/methyl-accepting chemotaxis protein/chemotaxis protein/PAS domain S-box protein/methyl-accepting chemotaxis protein/methyl-accepting chemotaxis protein/methyl-accepting chemotaxis protein"
"GO:0044781";"BP";"GO:0044781";"bacterial-type flagellum organization";2;0,852941176470588;1,44599356618833;0,0413313792369011;0,115722705377873;0,0775176016885271;17;"tags=100%, list=16%, signal=85%";"CLM75_RS19365/CLM75_RS19410";"flagellar biosynthesis protein FlhF/flagellar biosynthetic protein FliO"
"GO:0009306";"BP";"GO:0009306";"protein secretion";4;0,68;1,47256511504279;0,0761061946902655;0,167433628318584;0,112156497438286;36;"tags=100%, list=35%, signal=68%";"CLM75_RS19405/CLM75_RS19400/CLM75_RS19390/CLM75_RS19370";"flagellar biosynthetic protein FliP/flagellar biosynthetic protein FliQ/flagellar biosynthesis protein FlhB/flagellar biosynthesis protein FlhA"
"GO:0071973";"BP";"GO:0071973";"bacterial-type flagellum-dependent cell motility";4;0,64;1,38594363768733;0,109734513274336;0,184563758389262;0,123631225715295;40;"tags=100%, list=38%, signal=64%";"CLM75_RS19415/CLM75_RS19420/CLM75_RS19550/CLM75_RS19545";"flagellar motor switch protein FliN/flagellar motor switch protein FliM/flagellar basal body L-ring protein FlgH/flagellar basal body P-ring protein FlgI"
"GO:0044780";"BP";"GO:0044780";"bacterial-type flagellum assembly";5;0,575757575757576;1,37520651891103;0,11744966442953;0,184563758389262;0,123631225715295;47;"tags=100%, list=45%, signal=58%";"CLM75_RS19400/CLM75_RS19395/CLM75_RS19390/CLM75_RS19370/CLM75_RS19540";"flagellar biosynthetic protein FliQ/flagellar type III secretion system protein FliR/flagellar biosynthesis protein FlhB/flagellar biosynthesis protein FlhA/peptidoglycan hydrolase FlgJ"
"GO:0006935";"BP";"GO:0006935";"chemotaxis";5;-0,452125353476584;-1,1947231140302;0,235872235872236;0,324324324324324;0,217250743566533;28;"tags=80%, list=27%, signal=61%";"CLM75_RS13850/CLM75_RS10415/CLM75_RS14715/CLM75_RS08940";"methyl-accepting chemotaxis protein/chemotaxis protein/PAS domain S-box protein/methyl-accepting chemotaxis protein"
"GO:0006355";"BP";"GO:0006355";"regulation of transcription, DNA-templated";4;-0,44;-1,04590183748394;0,378132118451025;0,462161478106808;0,309581851363412;61;"tags=100%, list=59%, signal=43%";"CLM75_RS09685/CLM75_RS03825/CLM75_RS03705";"AraC family transcriptional regulator/helix-turn-helix-type transcriptional regulator/AAA family ATPase"
"GO:0009058";"BP";"GO:0009058";"biosynthetic process";2;0,585060083258712;0,991853998333587;0,518450184501845;0,57029520295203;0,382015925422412;15;"tags=50%, list=14%, signal=44%";"CLM75_RS04975";"mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase"
"GO:0015031";"BP";"GO:0015031";"protein transport";2;-0,284313725490196;-0,497717877761871;0,993520518358531;0,993520518358531;0,665516136699495;76;"tags=50%, list=73%, signal=14%";"CLM75_RS00790";"ShlB/FhaC/HecB family hemolysin secretion/activation protein"
"GO:0009425";"CC";"GO:0009425";"bacterial-type flagellum basal body";2;0,823529411764706;1,38578341991267;0,0586011342155009;0,175803402646503;0,175803402646503;20;"tags=100%, list=19%, signal=82%";"CLM75_RS19415/CLM75_RS19420";"flagellar motor switch protein FliN/flagellar motor switch protein FliM"
"GO:0016020";"CC";"GO:0016020";"membrane";18;-0,266904853791151;-1,14955803998741;0,267361111111111;0,401041666666667;0,401041666666667;29;"tags=50%, list=28%, signal=44%";"CLM75_RS22090/CLM75_RS13850/CLM75_RS03165/CLM75_RS10415/CLM75_RS14715/CLM75_RS04675/CLM75_RS14530/CLM75_RS08940/CLM75_RS04925";"methyl-accepting chemotaxis protein/methyl-accepting chemotaxis protein/MATE family efflux transporter/chemotaxis protein/PAS domain S-box protein/methyl-accepting chemotaxis protein/methyl-accepting chemotaxis protein/methyl-accepting chemotaxis protein/RND transporter"
"GO:0016021";"CC";"GO:0016021";"integral component of membrane";15;0,25478994933084;0,86049126555816;0,657553956834532;0,657553956834532;0,657553956834532;38;"tags=53%, list=37%, signal=40%";"CLM75_RS05480/CLM75_RS19410/CLM75_RS19400/CLM75_RS19395/CLM75_RS19390/CLM75_RS01435/CLM75_RS19370/CLM75_RS02665";"hypothetical protein/flagellar biosynthetic protein FliO/flagellar biosynthetic protein FliQ/flagellar type III secretion system protein FliR/flagellar biosynthesis protein FlhB/outer membrane porin, OprD family/flagellar biosynthesis protein FlhA/methyl-accepting chemotaxis protein"
